date,team1,team2,score1,score2,time,game_type,text_content
"Tuesday, March 18, 2025",Los Angeles Dodgers,Chicago Cubs,4,1,,,Los Angeles Dodgers (4) @ Chicago Cubs (1) Boxscore
"Wednesday, March 19, 2025",Los Angeles Dodgers,Chicago Cubs,6,3,,,Los Angeles Dodgers (6) @ Chicago Cubs (3) Boxscore
"Thursday, March 27, 2025",Chicago Cubs,Arizona D'Backs,10,6,,,Chicago Cubs (10) @ Arizona D'Backs (6) Boxscore
"Thursday, March 27, 2025",Los Angeles Angels,Chicago White Sox,1,8,,,Los Angeles Angels (1) @ Chicago White Sox (8) Boxscore
"Thursday, March 27, 2025",San Francisco Giants,Cincinnati Reds,6,4,,,San Francisco Giants (6) @ Cincinnati Reds (4) Boxscore
"Thursday, March 27, 2025",New York Mets,Houston Astros,1,3,,,New York Mets (1) @ Houston Astros (3) Boxscore
"Thursday, March 27, 2025",Cleveland Guardians,Kansas City Royals,7,4,,,Cleveland Guardians (7) @ Kansas City Royals (4) Boxscore
"Thursday, March 27, 2025",Detroit Tigers,Los Angeles Dodgers,4,5,,,Detroit Tigers (4) @ Los Angeles Dodgers (5) Boxscore
"Thursday, March 27, 2025",Pittsburgh Pirates,Miami Marlins,4,5,,,Pittsburgh Pirates (4) @ Miami Marlins (5) Boxscore
"Thursday, March 27, 2025",Milwaukee Brewers,New York Yankees,2,4,,,Milwaukee Brewers (2) @ New York Yankees (4) Boxscore
"Thursday, March 27, 2025",Atlanta Braves,San Diego Padres,4,7,,,Atlanta Braves (4) @ San Diego Padres (7) Boxscore
"Thursday, March 27, 2025",Athletics,Seattle Mariners,2,4,,,Athletics (2) @ Seattle Mariners (4) Boxscore
"Thursday, March 27, 2025",Minnesota Twins,St. Louis Cardinals,3,5,,,Minnesota Twins (3) @ St. Louis Cardinals (5) Boxscore
"Thursday, March 27, 2025",Boston Red Sox,Texas Rangers,5,2,,,Boston Red Sox (5) @ Texas Rangers (2) Boxscore
"Thursday, March 27, 2025",Baltimore Orioles,Toronto Blue Jays,12,2,,,Baltimore Orioles (12) @ Toronto Blue Jays (2) Boxscore
"Thursday, March 27, 2025",Philadelphia Phillies,Washington Nationals,7,3,,,Philadelphia Phillies (7) @ Washington Nationals (3) Boxscore
"Friday, March 28, 2025",Chicago Cubs,Arizona D'Backs,1,8,,,Chicago Cubs (1) @ Arizona D'Backs (8) Boxscore
"Friday, March 28, 2025",New York Mets,Houston Astros,3,1,,,New York Mets (3) @ Houston Astros (1) Boxscore
"Friday, March 28, 2025",Detroit Tigers,Los Angeles Dodgers,5,8,,,Detroit Tigers (5) @ Los Angeles Dodgers (8) Boxscore
"Friday, March 28, 2025",Pittsburgh Pirates,Miami Marlins,4,3,,,Pittsburgh Pirates (4) @ Miami Marlins (3) Boxscore
"Friday, March 28, 2025",Atlanta Braves,San Diego Padres,3,4,,,Atlanta Braves (3) @ San Diego Padres (4) Boxscore
"Friday, March 28, 2025",Athletics,Seattle Mariners,7,0,,,Athletics (7) @ Seattle Mariners (0) Boxscore
"Friday, March 28, 2025",Colorado Rockies,Tampa Bay Rays,2,3,,,Colorado Rockies (2) @ Tampa Bay Rays (3) Boxscore
"Friday, March 28, 2025",Boston Red Sox,Texas Rangers,1,4,,,Boston Red Sox (1) @ Texas Rangers (4) Boxscore
"Friday, March 28, 2025",Baltimore Orioles,Toronto Blue Jays,2,8,,,Baltimore Orioles (2) @ Toronto Blue Jays (8) Boxscore
"Saturday, March 29, 2025",Chicago Cubs,Arizona D'Backs,4,3,,,Chicago Cubs (4) @ Arizona D'Backs (3) Boxscore
