date,team1,team2,pitcher1,pitcher2,away_odds,home_odds
18-03-2025,LAD,CHC,Yoshinobu Yamamoto,Shota Imanaga,-150,125
18-03-2025,BOS,NYY,Walker Buehler,Max Fried,155,-185
18-03-2025,PHI,PIT,Cristopher Sanchez,Thomas Harrington,-135,115
18-03-2025,MIA,STL,Connor Gillispie,Miles Mikolas,140,-165
18-03-2025,DET,MIN,Matt Manning,Bailey Ober,135,-160
18-03-2025,LAA,CIN,Jose Soriano,Nick Martinez,175,-210
18-03-2025,MIL,SEA,Elvin Rodriguez,Bryan Woo,155,-185
18-03-2025,WSH,HOU,Trevor Williams,Lance McCullers Jr.,140,-165
18-03-2025,TOR,BAL,Eric Lauer,Cade Povich,120,-140
19-03-2025,SD,SF,Stephen Kolek,Robbie Ray,N/A,N/A
19-03-2025,CLE,TEX,Luis L. Ortiz,Tyler Mahle,160,-190
19-03-2025,SF,COL,Keaton Winn,Ryan Feltner,N/A,N/A
